Frequency (THz),Measured Reflectivity (abs),Fitted Reflectivity (abs),Real(n),Imaginary(n)
2.490234375e-11,2.7645370685416757,1.0,1361639.7269100158,-8693.413576952182
2.5e-11,4.085554466052321,1.0,1356321.4682885623,-8625.635787595584
2.509765625e-11,2.2667402442793634,1.0,1351044.5893914981,-8558.647532569552
2.51953125e-11,1.687037152982568,1.0,1345808.6091748532,-8492.436596819907
2.529296875e-11,1.793429426640348,1.0,1340613.0540216893,-8426.991000601427
2.5390625e-11,2.124330516645186,1.0,1335457.457599323,-8362.29899405937
2.548828125e-11,2.480269182827346,1.0,1330341.3607198312,-8298.34905195601
2.55859375e-11,2.6875522965922762,1.0,1325264.311203747,-8235.129868537711
2.568359375e-11,2.5840527728197165,1.0,1320225.8637468675,-8172.630352538373
2.578125e-11,2.15152586081234,1.0,1315225.5797900828,-8110.83962231507
2.587890625e-11,1.4778517527865818,1.0,1310263.027392156,-8049.747001111868
2.59765625e-11,0.7455378855139939,1.0,1305337.7811053684,-7989.34201244804
2.607421875e-11,1.3837618089970514,1.0,1300449.4218539596,-7929.614375626976
2.6171875e-11,1.5911133939847628,1.0,1295597.5368152866,-7870.554001362029
2.626953125e-11,1.7576353697475733,1.0,1290781.719303635,-7812.150987516089
2.63671875e-11,2.144258896409875,1.0,1286001.5686566078,-7754.3956149512705
2.646484375e-11,2.899922086559287,1.0,1281256.6901240328,-7697.278343485634
2.65625e-11,3.997579026335,1.0,1276546.6947593153,-7640.789807953738
2.666015625e-11,4.2750574558343875,1.0,1271871.199313181,-7584.920814367976
2.67578125e-11,2.81511445146418,1.0,1267229.8261297434,-7529.662336177802
2.685546875e-11,1.4640741452611516,1.0,1262622.2030448376,-7475.005510623955
2.6953125e-11,0.9359749095803912,1.0,1258047.9632865652,-7420.94163518498
2.705078125e-11,0.8243901775960634,1.0,1253506.74537799,-7367.462164113358
2.71484375e-11,0.8878598544582126,1.0,1248998.1930419365,-7314.558705058666
2.724609375e-11,1.2002220696823207,1.0,1244521.955107831,-7262.223015775308
2.734375e-11,1.7422572852085272,1.0,1240077.6854205413,-7210.447000912387
2.744140625e-11,2.24252727636543,1.0,1235665.0427511618,-7159.222708883351
2.75390625e-11,2.3248402865105224,1.0,1231283.6907096936,-7108.54232881324
2.763671875e-11,1.8655581617579327,1.0,1226933.297659579,-7058.398187561239
2.7734375e-11,1.1436785725244294,1.0,1222613.5366340384,-7008.782746816516
2.783203125e-11,0.4931326808781733,1.0,1218324.0852541686,-6959.688600265212
2.79296875e-11,0.27790641261446536,1.0,1214064.6256487586,-6911.10847082668
2.802734375e-11,0.5224765995371802,1.0,1209834.844375782,-6863.035207956944
2.8125e-11,0.8061044165170927,1.0,1205634.4323455226,-6815.4617850176155
2.822265625e-11,1.1967464612062761,1.0,1201463.0847452977,-6768.3812967083995
2.83203125e-11,1.8921385279921652,1.0,1197320.500965737,-6721.786956561441
2.841796875e-11,3.4098695860557906,1.0,1193206.3845285808,-6675.672094495862
2.8515625e-11,3.6618625491049346,1.0,1189120.4430159624,-6630.030154430765
2.861328125e-11,2.490719800293952,1.0,1185062.3880011365,-6584.854691955196
2.87109375e-11,2.0556682775451978,1.0,1181031.9349806234,-6540.139372053457
2.880859375e-11,1.9764172777064561,1.0,1177028.8033077302,-6495.877966884279
2.890625e-11,2.099164490813325,1.0,1173052.71612742,-6452.064353612451
2.900390625e-11,2.367654366310003,1.0,1169103.4003124987,-6408.692512291433
2.91015625e-11,2.6479988589601766,1.0,1165180.5864010812,-6365.756523795614
2.919921875e-11,2.589266996548145,1.0,1161284.008535318,-6323.25056780089
2.9296875e-11,2.2116200106945394,1.0,1157413.4044013424,-6281.168920812288
2.939453125e-11,1.8018553810354316,1.0,1153568.5151704159,-6239.505954237344
2.94921875e-11,1.373995325314341,1.0,1149749.0854412434,-6198.256132504093
2.958984375e-11,0.777151722360481,1.0,1145954.8631834295,-6157.414011222413
2.96875e-11,0.8861605557898143,1.0,1142185.5996820496,-6116.974235387676
2.978515625e-11,5.23033579404388,1.0,1138441.049483313,-6076.931537625514
2.98828125e-11,2.1390406395478943,1.0,1134720.9703412896,-6037.280736476677
2.998046875e-11,1.393577412456207,1.0,1131025.1231656778,-5998.016734720936
3.0078125e-11,1.126281321818756,1.0,1127353.2719705899,-5959.134517738995
3.017578125e-11,1.0953317493335608,1.0,1123705.183824332,-5920.629151911453
3.02734375e-11,1.1471050399693496,1.0,1120080.6288001542,-5882.49578305385
3.037109375e-11,1.2823957869204294,1.0,1116479.3799279525,-5844.729634886878
3.046875e-11,1.498585421160647,1.0,1112901.2131468977,-5807.326007540858
3.056640625e-11,1.6763508494667172,1.0,1109345.9072589735,-5770.280276093573
3.06640625e-11,1.7853518710551741,1.0,1105813.2438834002,-5733.587889140683
3.076171875e-11,3.070472760815889,1.0,1102303.007411929,-5697.24436739783
3.0859375e-11,2.2957190111962382,1.0,1098814.9849649824,-5661.24530233364
3.095703125e-11,0.9045607600154076,1.0,1095348.9663486255,-5625.58635483289
3.10546875e-11,0.6422275264123481,1.0,1091904.74401235,-5590.263253889026
3.115234375e-11,0.5481201187523576,1.0,1088482.1130076493,-5555.271795325327
3.125e-11,0.5495284473513264,1.0,1085080.8709473738,-5520.607840544016
3.134765625e-11,0.6927069939527558,1.0,1081700.8179658414,-5486.267315302554
3.14453125e-11,1.0355059806481512,1.0,1078341.756679695,-5452.246208516549
3.154296875e-11,1.753378033589449,1.0,1075003.4921494848,-5418.540571088509
3.1640625e-11,4.241282351751009,1.0,1071685.8318419626,-5385.1465147619
3.173828125e-11,2.971378486034658,1.0,1068388.5855930713,-5352.060210999818
3.18359375e-11,0.8830045017009955,1.0,1065111.5655716155,-5319.277889887706
3.193359375e-11,0.592287483660306,1.0,1061854.5862436,-5286.795839059511
3.203125e-11,0.5002198793054218,1.0,1058617.4643372183,-5254.610402646742
3.212890625e-11,0.3356071534765533,1.0,1055400.0188084804,-5222.717980249829
3.22265625e-11,0.2560968956534743,1.0,1052202.0708074674,-5191.115025931263
3.232421875e-11,0.6017815290284744,1.0,1049023.4436451928,-5159.7980472300205
3.2421875e-11,1.6466047792023626,1.0,1045863.9627610671,-5128.763604196704
3.251953125e-11,7.980504851800605,1.0,1042723.4556909467,-5098.008308448945
3.26171875e-11,2.7491403688621685,1.0,1039601.7520357566,-5067.528822246565
3.271484375e-11,1.547341264065539,1.0,1036498.683430675,-5037.321857586045
3.28125e-11,1.3099646919824792,1.0,1033414.0835148678,-5007.384175313801
3.291015625e-11,1.6136653828444922,1.0,1030347.7879017636,-4977.712584257879
3.30078125e-11,2.5781184305054663,1.0,1027299.6341498526,-4948.3039403775765
3.310546875e-11,5.066597019616137,1.0,1024269.4617340058,-4919.155145930617
3.3203125e-11,8.92010174532663,1.0,1021257.1120172987,-4890.263148657428
3.330078125e-11,3.0508260748566896,1.0,1018262.4282233304,-4861.624940982135
3.33984375e-11,1.9699666911809846,1.0,1015285.2554090284,-4833.237559229901
3.349609375e-11,1.7371588880674154,1.0,1012325.4404379295,-4805.098082860191
3.359375e-11,1.6429514382969168,1.0,1009382.8319539264,-4777.203633715637
3.369140625e-11,1.7075902990307208,1.0,1006457.2803554701,-4749.551375286086
3.37890625e-11,2.2521256695990637,1.0,1003548.6377702206,-4722.138511987555
3.388671875e-11,6.3526382667614225,1.0,1000656.7580301352,-4694.962288455672
3.3984375e-11,3.3699561324865535,1.0,997781.4966469862,-4668.019988853329
3.408203125e-11,0.9701276575415743,1.0,994922.7107882998,-4641.308936192188
3.41796875e-11,0.49734049264162683,1.0,992080.2592537061,-4614.826491667738
3.427734375e-11,1.1331400826673368,1.0,989254.0024516964,-4588.570054007606
3.4375e-11,1.7306890159306323,1.0,986443.8023767722,-4562.537058832775
3.447265625e-11,1.8629411634366437,1.0,983649.522586986,-4536.724978031492
3.45703125e-11,1.8183578730096002,1.0,980871.0281818614,-4511.131319145498
3.466796875e-11,1.7165483198921485,1.0,978108.1857806864,-4485.753624768366
3.4765625e-11,1.612043115224602,1.0,975360.863501172,-4460.589471955637
3.486328125e-11,1.6297926459438141,1.0,972628.9309384701,-4435.636471646522
3.49609375e-11,2.173219930115633,1.0,969912.2591445431,-4410.892268096872
3.505859375e-11,2.1999259560613758,1.0,967210.7206078771,-4386.354538323199
3.515625e-11,0.9786244681387258,1.0,964524.1892335343,-4362.020991557496
3.525390625e-11,0.5763004026591771,1.0,961852.540323537,-4337.889368712606
3.53515625e-11,0.36902720031593794,1.0,959195.6505575747,-4313.957441857905
3.544921875e-11,0.27580421979003616,1.0,956553.3979740327,-4290.223013705101
3.5546875e-11,0.3432466845127254,1.0,953925.6619513315,-4266.683917103884
3.564453125e-11,0.5505102242337346,1.0,951312.3231895738,-4243.338014547256
3.57421875e-11,0.9646994044805359,1.0,948713.2636924917,-4220.183197686284
3.583984375e-11,2.480059345041041,1.0,946128.366749689,-4197.217386854119
3.59375e-11,3.7638744282024112,1.0,943557.5169191738,-4174.4385305990345
3.603515625e-11,0.9202288609363781,1.0,941000.6000101742,-4151.844605226324
3.61328125e-11,0.43521449667245143,1.0,938457.5030662329,-4129.433614348852
3.623046875e-11,0.4037667014727124,1.0,935928.1143485751,-4107.203588446049
3.6328125e-11,0.5979780018456758,1.0,933412.3233197447,-4085.1525844312373
3.642578125e-11,0.7531515831090826,1.0,930910.0206275034,-4063.278685227022
3.65234375e-11,0.7249369490637144,1.0,928421.0980889888,-4041.57999934864
3.662109375e-11,0.5335195742555434,1.0,925945.4486751249,-4020.054660495075
3.671875e-11,0.279369711589891,1.0,923482.9664952816,-3998.70082714776
3.681640625e-11,0.03625791337729449,1.0,921033.5467821792,-3977.516682176732
3.69140625e-11,0.2960885369809067,1.0,918597.0858770316,-3956.5004324540732
3.701171875e-11,0.8139515643865131,1.0,916173.4812149238,-3935.6503084744586
3.7109375e-11,5.324225728860637,1.0,913762.6313104229,-3914.964563982719
3.720703125e-11,1.6657544306169632,1.0,911364.435743413,-3894.4414756082037
3.73046875e-11,1.0301177967618937,1.0,908978.7951451535,-3874.0793425058537
3.740234375e-11,0.8724586631818692,1.0,906605.6111845559,-3853.87648600381
3.75e-11,0.7144388786024244,1.0,904244.786554676,-3833.8312492574605
3.759765625e-11,0.44898857175578993,1.0,901896.224959413,-3813.941996909745
3.76953125e-11,0.10159188027655834,1.0,899559.831100421,-3794.2071147576116
3.779296875e-11,0.9252324218029765,1.0,897235.5106642173,-3774.6250094245265
3.7890625e-11,5.5283707956987875,1.0,894923.1703094945,-3755.194108038843
3.798828125e-11,2.030158188378092,1.0,892622.7176546264,-3735.912857917987
3.80859375e-11,0.9830631878960384,1.0,890334.0612653656,-3716.7797262582694
3.818359375e-11,0.7832904020424439,1.0,888057.1106427321,-3697.7931998302765
3.828125e-11,0.968040574509657,1.0,885791.776211084,-3678.9517846796693
3.837890625e-11,1.2472645470429011,1.0,883537.9693063732,-3660.2540058333143
3.84765625e-11,1.6054785351850696,1.0,881295.6021645783,-3641.6984070106205
3.857421875e-11,2.492071803052216,1.0,879064.5879103135,-3623.283550340001
3.8671875e-11,8.652488775108178,1.0,876844.8405456108,-3605.0080160803186
3.876953125e-11,6.702388465931727,1.0,874636.2749388699,-3586.870402347254
3.88671875e-11,3.343301984400944,1.0,872438.8068139771,-3568.8693248444665
3.896484375e-11,2.880332345199311,1.0,870252.352739586,-3551.003416599477
3.90625e-11,3.170681410455816,1.0,868076.8301185593,-3533.271327704155
3.916015625e-11,2.236723531326267,1.0,865912.1571775688,-3515.6717250597385
3.92578125e-11,0.756033862104664,1.0,863758.252956851,-3498.203292126286
3.935546875e-11,2.896344422336403,1.0,861615.0373001144,-3480.864728676471
3.9453125e-11,3.9745274327969544,1.0,859482.4308445964,-3463.654750553637
3.955078125e-11,3.8305438330289094,1.0,857360.3550112692,-3446.572089434031
3.96484375e-11,2.886484452072698,1.0,855248.7319951892,-3429.6154925931364
3.974609375e-11,1.908139642556377,1.0,853147.4847559873,-3412.7837226760043
3.984375e-11,1.2157186962018651,1.0,851056.5370085023,-3396.075557471538
3.994140625e-11,0.7563578722473601,1.0,848975.8132135487,-3379.489789690616
4.00390625e-11,0.5422148748126269,1.0,846905.2385688212,-3363.025226748017
4.013671875e-11,0.9454147805770156,1.0,844844.7389999315,-3346.680690548045
4.0234375e-11,0.6842825924149953,1.0,842794.241151575,-3330.4550172737872
4.033203125e-11,0.5895396888245306,1.0,840753.6723788275,-3314.347057179953
4.04296875e-11,0.6163129562232783,1.0,838722.960738566,-3298.3556743891895
4.052734375e-11,0.8101829435534492,1.0,836702.0349810146,-3282.479746691859
4.0625e-11,1.3187335415105617,1.0,834690.8245414126,-3266.7181653491434
4.072265625e-11,1.3323875810069652,1.0,832689.259531802,-3251.069834899486
4.08203125e-11,0.971558276794388,1.0,830697.270732932,-3235.5336729682504
4.091796875e-11,0.7853557198050641,1.0,828714.7895862813,-3220.1086100805487
4.1015625e-11,0.6963990321178223,1.0,826741.7481861929,-3204.7935894772095
4.111328125e-11,0.6807610813980238,1.0,824778.0792721213,-3189.587566933777
4.12109375e-11,0.7655667840780063,1.0,822823.7162209905,-3174.4895105825267
4.130859375e-11,0.9417544070620442,1.0,820878.5930396599,-3159.4984007374096
4.140625e-11,1.1020751964860094,1.0,818942.6443574954,-3144.613229721893
4.150390625e-11,1.1768126001919987,1.0,817015.8054190491,-3129.833001699626
4.16015625e-11,1.1731300723951805,1.0,815098.0120768378,-3115.156732507886
4.169921875e-11,1.0917927042567621,1.0,813189.2007842263,-3100.5834494937567
4.1796875e-11,0.906466451831541,1.0,811289.3085884075,-3086.1121913529737
4.189453125e-11,0.6417305697461172,1.0,809398.2731234842,-3071.742007971404
4.19921875e-11,0.7344951613208321,1.0,807516.0326036438,-3057.471960269097
4.208984375e-11,1.0701750850138028,1.0,805642.5258164306,-3043.301120046872
4.21875e-11,1.1392105942990893,1.0,803777.6921161097,-3029.2285698353758
4.228515625e-11,1.0165947717679187,1.0,801921.4714171246,-3015.2534027465954
4.23828125e-11,0.8907953397503019,1.0,800073.8041876445,-3001.374722327747
4.248046875e-11,0.9520285442011485,1.0,798234.631443199,-2987.591642417523
4.2578125e-11,1.231159762667323,1.0,796403.8947404034,-2973.9032870046362
4.267578125e-11,1.730971159253484,1.0,794581.5361707681,-2960.3087900886326
4.27734375e-11,2.675792479637029,1.0,792767.4983545921,-2946.807295542928
4.287109375e-11,4.4050685442201365,1.0,790961.7244349438,-2933.397956980019
4.296875e-11,3.593619374549452,1.0,789164.1580717175,-2920.07993761884
4.306640625e-11,1.862343716363297,1.0,787374.743435778,-2906.8524101542234
4.31640625e-11,1.0959658697950834,1.0,785593.4252031788,-2893.714556628417
4.326171875e-11,1.4889434790777512,1.0,783820.1485494613,-2880.6655683046497
4.3359375e-11,2.2109208087831145,1.0,782054.8591440315,-2867.7046455426557
4.345703125e-11,2.525004630859697,1.0,780297.5031446111,-2854.8309976761916
4.35546875e-11,2.452436229392744,1.0,778548.0271917629,-2842.043842892436
4.365234375e-11,2.1839885128693575,1.0,776806.3784034924,-2829.3424081133085
4.375e-11,1.973509106318777,1.0,775072.5043699181,-2816.725928878618
4.384765625e-11,1.8696557055232121,1.0,773346.3531480152,-2804.1936492310438
4.39453125e-11,1.5791993235502932,1.0,771627.87325643,-2791.744821602897
4.404296875e-11,0.6440810574202549,1.0,769917.0136703609,-2779.378706704637
4.4140625e-11,0.2744063623432773,1.0,768213.7238165087,-2767.094573415119
4.423828125e-11,0.9349566696977945,1.0,766517.953568095,-2754.891698673527
4.43359375e-11,1.633550581806902,1.0,764829.6532399431,-2742.769367372976
4.443359375e-11,2.410306477947911,1.0,763148.7735836278,-2730.7268722557533
4.453125e-11,2.747932276832338,1.0,761475.2657826862,-2718.7635138101527
4.462890625e-11,2.8229170969595625,1.0,759809.0814478914,-2706.878600168901
4.47265625e-11,3.464688440727684,1.0,758150.1726125902,-2695.0714470091293
4.482421875e-11,4.119619299222682,1.0,756498.4917280995,-2683.3413774538635
4.4921875e-11,2.9091579120633804,1.0,754853.9916591644,-2671.687721975026
4.501953125e-11,1.985537007775605,1.0,753216.6256794742,-2660.1098182978876
4.51171875e-11,1.5972385374939768,1.0,751586.3474672363,-2648.6070113069864
4.521484375e-11,1.5660464650719141,1.0,749963.1111008102,-2637.1786529534547
4.53125e-11,1.9971943829184906,1.0,748346.8710543945,-2625.8241021637455
4.541015625e-11,3.1924842271530993,1.0,746737.5821937714,-2614.542724749731
4.55078125e-11,3.7138919400364614,1.0,745135.1997721057,-2603.333893320153
4.560546875e-11,3.446961762645047,1.0,743539.6794257973,-2592.1969871933966
4.5703125e-11,3.4370316621812025,1.0,741950.9771703882,-2581.1313923115654
4.580078125e-11,2.938592243726434,1.0,740369.0493965201,-2570.1365011558396
4.58984375e-11,2.0421117713771335,1.0,738793.8528659446,-2559.2117126630974
4.599609375e-11,1.409036510768043,1.0,737225.3447075838,-2548.3564321437602
4.609375e-11,1.045486278581301,1.0,735663.482413642,-2537.57007120088
4.619140625e-11,0.7954436396488156,1.0,734108.2238357648,-2526.852047650392
4.62890625e-11,0.308900571558194,1.0,732559.527181249,-2516.2017854425676
4.638671875e-11,4.761434503368825,1.0,731017.3510092987,-2505.618714584612
4.6484375e-11,4.322383859321634,1.0,729481.6542273287,-2495.1022710644047
4.658203125e-11,3.2763544021445092,1.0,727952.3960873166,-2484.6518967753527
4.66796875e-11,1.9487805164783374,1.0,726429.5361821969,-2474.267039442346
4.677734375e-11,1.6377831799391191,1.0,724913.0344423037,-2463.9471525487897
4.6875e-11,2.0228148905654755,1.0,723402.851131856,-2453.6916952647107
4.697265625e-11,2.2114185659157797,1.0,721898.9468454869,-2443.5001323758916
4.70703125e-11,1.7355016234197775,1.0,720401.2825048177,-2433.3719342140507
4.716796875e-11,1.793777091026496,1.0,718909.8193550721,-2423.3065765880174
4.7265625e-11,2.3063051132374226,1.0,717424.5189617339,-2413.3035407159146
4.736328125e-11,2.363301413403981,1.0,715945.3432072453,-2403.362313158311
4.74609375e-11,2.247569108336362,1.0,714472.2542877478,-2393.4823857523334
4.755859375e-11,2.25261733456518,1.0,713005.2147098593,-2383.663255546736
4.765625e-11,2.4056714965328423,1.0,711544.1872874963,-2373.9044247378874
4.775390625e-11,1.9819720620360382,1.0,710089.1351387291,-2364.2054006066815
4.78515625e-11,1.1202749151335307,1.0,708640.0216826809,-2354.5656954563424
4.794921875e-11,1.408711237335985,1.0,707196.8106364614,-2344.984826551123
4.8046875e-11,1.2522247307206367,1.0,705759.4660121382,-2335.462316055864
4.814453125e-11,0.9126469076304037,1.0,704327.9521137467,-2325.997690976424
4.82421875e-11,0.5493422592662347,1.0,702902.2335343348,-2316.5904831009384
4.833984375e-11,0.4401627159811245,1.0,701482.2751530439,-2307.240228941916
4.84375e-11,0.6365842684925076,1.0,700068.042132225,-2297.9464696791533
4.853515625e-11,0.7723368159460733,1.0,698659.49991459,-2288.708751103446
4.86328125e-11,0.9593429378572044,1.0,697256.6142203971,-2279.526623561098
4.873046875e-11,1.7165561817046486,1.0,695859.3510446699,-2270.3996418992
4.8828125e-11,14.475400322519235,1.0,694467.6766544499,-2261.3273654116797
4.892578125e-11,1.8194335835326483,1.0,693081.557586083,-2252.309357786103
4.90234375e-11,0.7416507137011069,1.0,691700.9606425356,-2243.3451870512145
4.912109375e-11,0.41833246955658376,1.0,690325.8528907459,-2234.4344255252104
4.921875e-11,0.8378627017687684,1.0,688956.2016590056,-2225.5766497647264
4.931640625e-11,1.8369370827732119,1.0,687591.9745343716,-2216.7714405145343
4.94140625e-11,3.185766841188124,1.0,686233.1393601096,-2208.018382657929
4.951171875e-11,3.532033470062724,1.0,684879.6642331672,-2199.317065167809
4.9609375e-11,2.725577541453026,1.0,683531.5175016788,-2190.667081058419
4.970703125e-11,1.844109590934983,1.0,682188.6677624962,-2182.0680273377616
4.98046875e-11,1.2104685399484625,1.0,680851.0838587522,-2173.5195049606677
4.990234375e-11,0.8271451373141143,1.0,679518.7348774498,-2165.0211187824916
